,papers,doi_papers,explicit_authorships,authorships,solo_authorships,max_authors,verif_authorships,orcid_authorships,orcid_suffix_authorships,uauthors,verif_uauthors,orcid_uauthors,orcid_suffix_uauthors,degree_uauthors,evts,big_evts,vols,doi_vols,pctdoi_papers,pctdoi_vols
2007,1601.0,131.0,1230.0,4011.0,348.0,19.0,1654.0,713.0,,2624,885.0,340.0,,8.0,30.0,7.0,63.0,1.0,0.08182386008744534,0.015873015873015872
2008,2232.0,36.0,1858.0,6323.0,318.0,16.0,2562.0,1078.0,,3876,1255.0,474.0,,7.0,33.0,6.0,72.0,0.0,0.016129032258064516,0.0
2009,2233.0,35.0,1656.0,5851.0,383.0,17.0,2369.0,1118.0,,3462,1108.0,473.0,,13.0,42.0,10.0,99.0,0.0,0.01567398119122257,0.0
2010,3069.0,46.0,2332.0,8829.0,438.0,20.0,3417.0,1614.0,,5013,1467.0,604.0,,12.0,43.0,9.0,94.0,0.0,0.014988595633756924,0.0
2011,2290.0,47.0,1708.0,6255.0,318.0,21.0,2525.0,1253.0,,3730,1172.0,514.0,,13.0,43.0,6.0,86.0,0.0,0.02052401746724891,0.0
2012,3391.0,40.0,2561.0,9898.0,427.0,16.0,3819.0,1852.0,,5706,1651.0,692.0,,16.0,49.0,12.0,113.0,0.0,0.011795930404010616,0.0
2013,2824.0,73.0,2093.0,8386.0,370.0,23.0,3371.0,1761.0,,4895,1490.0,694.0,,15.0,67.0,9.0,107.0,0.0,0.025849858356940508,0.0
2014,3639.0,1937.0,2641.0,11201.0,467.0,44.0,4236.0,2263.0,,6425,1759.0,839.0,,20.0,74.0,8.0,119.0,72.0,0.5322890904094532,0.6050420168067226
2015,2958.0,1956.0,1995.0,9068.0,311.0,18.0,3450.0,2004.0,,5280,1511.0,823.0,,18.0,75.0,8.0,105.0,54.0,0.6612576064908722,0.5142857142857142
2016,4220.0,2041.0,2750.0,13738.0,397.0,23.0,4997.0,3076.0,,7639,1913.0,1089.0,,19.0,79.0,9.0,115.0,53.0,0.4836492890995261,0.4608695652173913
2017,3487.0,2050.0,2019.0,11084.0,312.0,62.0,4060.0,2705.0,,6479,1727.0,1085.0,,17.0,76.0,7.0,123.0,55.0,0.5878979065098939,0.44715447154471544
2018,4821.0,2871.0,2716.0,16630.0,333.0,25.0,5781.0,3968.0,2.0,9294,2242.0,1478.0,1.0,30.0,72.0,10.0,119.0,29.0,0.5955196017423771,0.24369747899159663
2019,5074.0,4250.0,2197.0,18033.0,367.0,24.0,5798.0,4455.0,,10310,2383.0,1837.0,,38.0,83.0,9.0,147.0,9.0,0.8376034686637761,0.061224489795918366
2020,7241.0,4492.0,2988.0,27689.0,442.0,47.0,8431.0,6640.0,,15681,3210.0,2544.0,,58.0,141.0,12.0,170.0,38.0,0.6203563043778484,0.2235294117647059
2021,7143.0,5187.0,2520.0,28227.0,351.0,61.0,8915.0,7532.0,4.0,15426,3381.0,2863.0,2.0,66.0,144.0,12.0,168.0,2.0,0.7261654766904662,0.011904761904761904
2022,8648.0,5543.0,4575.0,37059.0,375.0,95.0,12451.0,10916.0,7.0,20044,4723.0,4161.0,4.0,99.0,172.0,11.0,206.0,39.0,0.6409574468085106,0.18932038834951456
2023,9031.0,7076.0,6086.0,39663.0,403.0,125.0,14569.0,13217.0,62.0,21421,5676.0,5184.0,44.0,136.0,139.0,15.0,175.0,2.0,0.7835234193334072,0.011428571428571429
2024,12128.0,8141.0,9637.0,56336.0,493.0,61.0,20731.0,19190.0,152.0,30292,7889.0,7344.0,99.0,198.0,170.0,17.0,207.0,59.0,0.6712565963060686,0.28502415458937197
2025,14732.0,11061.0,22683.0,73629.0,527.0,92.0,30352.0,29045.0,939.0,39561,12357.0,11925.0,543.0,272.0,184.0,19.0,231.0,107.0,0.7508145533532447,0.46320346320346323
2026,1508.0,1465.0,2449.0,6655.0,98.0,33.0,2916.0,2812.0,67.0,5626,2337.0,2267.0,61.0,47.0,23.0,3.0,27.0,25.0,0.9714854111405835,0.9259259259259259
