anthology_id	presentation_id
2020.acl-main.307	38928848
2020.acl-main.18	38928835
2020.acl-main.313	38928911
2020.acl-main.475	38929238
2020.acl-main.24	38929449
2020.acl-main.30	38929298
2020.acl-main.449	38929076
2020.acl-main.26	38929281
2020.acl-main.339	38928872
2020.acl-main.32	38928999
2020.acl-main.305	38928940
2020.acl-main.463	38929214
2020.acl-main.477	38929305
2020.acl-main.311	38928695
2020.acl-main.488	38928697
2020.acl-main.649	38929182
2020.acl-main.661	38928786
2020.acl-main.107	38929457
2020.acl-main.113	38929458
2020.acl-main.675	38928885
2020.acl-main.729	38929135
2020.acl-main.715	38929107
2020.acl-main.701	38928793
2020.acl-main.259	38929343
2020.acl-main.271	38929422
2020.acl-main.517	38928970
2020.acl-main.503	38929409
2020.acl-main.265	38929244
2020.acl-main.502	38928704
2020.acl-main.264	38928917
2020.acl-main.270	38928925
2020.acl-main.516	38928804
2020.acl-main.258	38928698
2020.acl-main.700	38929062
2020.acl-main.714	38928745
2020.acl-main.728	38928892
2020.acl-main.112	38929408
2020.acl-main.674	38929293
2020.acl-main.660	38928774
2020.acl-main.106	38929053
2020.acl-main.648	38928985
2020.acl-main.489	38929034
2020.acl-main.476	38929431
2020.acl-main.310	38929308
2020.acl-main.304	38928856
2020.acl-main.462	38928895
2020.acl-main.33	38929209
2020.acl-main.338	38929040
2020.acl-main.27	38929371
2020.acl-main.466	38928947
2020.acl-main.300	38929344
2020.acl-main.314	38928919
2020.acl-main.472	38929297
2020.acl-main.23	38928857
2020.acl-main.37	38928684
2020.acl-main.328	38928845
2020.acl-main.499	38929217
2020.acl-main.102	38928941
2020.acl-main.664	38929192
2020.acl-main.670	38929290
2020.acl-main.116	38928792
2020.acl-main.658	38929161
2020.acl-main.710	38929166
2020.acl-main.704	38929170
2020.acl-main.738	38928722
2020.acl-main.512	38929219
2020.acl-main.274	38929428
2020.acl-main.260	38928955
2020.acl-main.506	38928886
2020.acl-main.248	38929117
2020.acl-main.249	38928910
2020.acl-main.261	38929312
2020.acl-main.507	38928901
2020.acl-main.513	38929096
2020.acl-main.275	38929282
2020.acl-main.739	38928887
2020.acl-main.705	38929146
2020.acl-main.711	38929144
2020.acl-main.659	38929294
2020.acl-main.671	38929108
2020.acl-main.117	38928787
2020.acl-main.103	38928959
2020.acl-main.665	38929432
2020.acl-main.498	38929337
2020.acl-main.329	38928983
2020.acl-main.36	38928715
2020.acl-main.22	38928794
2020.acl-main.315	38928721
2020.acl-main.473	38929057
2020.acl-main.467	38929152
2020.acl-main.301	38928813
2020.acl-main.471	38929226
2020.acl-main.317	38928757
2020.acl-main.303	38928898
2020.acl-main.465	38929098
2020.acl-main.34	38928867
2020.acl-main.20	38928851
2020.acl-main.459	38928758
2020.acl-main.115	38929178
2020.acl-main.673	38929080
2020.acl-main.667	38928918
2020.acl-main.101	38929079
2020.acl-main.129	38928789
2020.acl-main.698	38929168
2020.acl-main.707	38929280
2020.acl-main.713	38929257
2020.acl-main.505	38928874
2020.acl-main.263	38928803
2020.acl-main.277	38929246
2020.acl-main.511	38928731
2020.acl-main.539	38928864
2020.acl-main.288	38929456
2020.acl-main.289	38928827
2020.acl-main.538	38928800
2020.acl-main.276	38929319
2020.acl-main.510	38929309
2020.acl-main.504	38929221
2020.acl-main.262	38928838
2020.acl-main.712	38928740
2020.acl-main.706	38928707
2020.acl-main.699	38929066
2020.acl-main.128	38929212
2020.acl-main.666	38928916
2020.acl-main.100	38929081
2020.acl-main.114	38929452
2020.acl-main.672	38928897
2020.acl-main.21	38929330
2020.acl-main.458	38928902
2020.acl-main.35	38929375
2020.acl-main.302	38928756
2020.acl-main.464	38929236
2020.acl-main.470	38928806
2020.acl-main.316	38928764
2020.acl-main.10	38928822
2020.acl-main.469	38928841
2020.acl-main.333	38929412
2020.acl-main.455	38929274
2020.acl-main.441	38928732
2020.acl-main.38	38928681
2020.acl-main.327	38928994
2020.acl-main.496	38929403
2020.acl-main.482	38928741
2020.acl-main.119	38928981
2020.acl-main.657	38929402
2020.acl-main.131	38928693
2020.acl-main.125	38929451
2020.acl-main.643	38929347
2020.acl-main.694	38928909
2020.acl-main.680	38929195
2020.acl-main.723	38929150
2020.acl-main.737	38929400
2020.acl-main.509	38929179
2020.acl-main.247	38929129
2020.acl-main.521	38929035
2020.acl-main.535	38928811
2020.acl-main.253	38928797
2020.acl-main.284	38929176
2020.acl-main.290	38929041
2020.acl-main.291	38929329
2020.acl-main.285	38928839
2020.acl-main.534	38929332
2020.acl-main.252	38929252
2020.acl-main.246	38929111
2020.acl-main.520	38928958
2020.acl-main.508	38928876
2020.acl-main.736	38928975
2020.acl-main.722	38929323
2020.acl-main.681	38929304
2020.acl-main.695	38928868
2020.acl-main.124	38929051
2020.acl-main.642	38928979
2020.acl-main.656	38929094
2020.acl-main.130	38928987
2020.acl-main.118	38929208
2020.acl-main.483	38929143
2020.acl-main.497	38929228
2020.acl-main.440	38929210
2020.acl-main.326	38928743
2020.acl-main.39	38929417
2020.acl-main.332	38929333
2020.acl-main.454	38929353
2020.acl-main.11	38929061
2020.acl-main.468	38929459
2020.acl-main.318	38928855
2020.acl-main.13	38929376
2020.acl-main.324	38928849
2020.acl-main.442	38929272
2020.acl-main.456	38929352
2020.acl-main.330	38928859
2020.acl-main.481	38929426
2020.acl-main.495	38929088
2020.acl-main.668	38929364
2020.acl-main.640	38929420
2020.acl-main.126	38928690
2020.acl-main.132	38928717
2020.acl-main.654	38929127
2020.acl-main.683	38929203
2020.acl-main.697	38929122
2020.acl-main.708	38928710
2020.acl-main.734	38928921
2020.acl-main.720	38929424
2020.acl-main.278	38929377
2020.acl-main.250	38929349
2020.acl-main.536	38928831
2020.acl-main.522	38928727
2020.acl-main.244	38929340
2020.acl-main.293	38928810
2020.acl-main.287	38929171
2020.acl-main.286	38928728
2020.acl-main.292	38929234
2020.acl-main.523	38929237
2020.acl-main.245	38929357
2020.acl-main.251	38929336
2020.acl-main.537	38928748
2020.acl-main.279	38929247
2020.acl-main.721	38929243
2020.acl-main.735	38929084
2020.acl-main.709	38929317
2020.acl-main.696	38929177
2020.acl-main.682	38929114
2020.acl-main.133	38929137
2020.acl-main.655	38928682
2020.acl-main.641	38929190
2020.acl-main.127	38928772
2020.acl-main.669	38929063
2020.acl-main.494	38929188
2020.acl-main.480	38929324
2020.acl-main.457	38929235
2020.acl-main.331	38928993
2020.acl-main.325	38928773
2020.acl-main.443	38929334
2020.acl-main.12	38929160
2020.acl-main.319	38929000
2020.acl-main.447	38929131
2020.acl-main.321	38929020
2020.acl-main.335	38929043
2020.acl-main.453	38929346
2020.acl-main.16	38929276
2020.acl-main.309	38929448
2020.acl-main.484	38929050
2020.acl-main.490	38929095
2020.acl-main.123	38929335
2020.acl-main.645	38929193
2020.acl-main.651	38928968
2020.acl-main.137	38928870
2020.acl-main.679	38929042
2020.acl-main.686	38928706
2020.acl-main.692	38929165
2020.acl-main.731	38928946
2020.acl-main.725	38929134
2020.acl-main.719	38929313
2020.acl-main.533	38929303
2020.acl-main.255	38929222
2020.acl-main.241	38928836
2020.acl-main.527	38928879
2020.acl-main.269	38929046
2020.acl-main.296	38928713
2020.acl-main.282	38928939
2020.acl-main.283	38928778
2020.acl-main.297	38929056
2020.acl-main.268	38929002
2020.acl-main.240	38929391
2020.acl-main.526	38928714
2020.acl-main.532	38929455
2020.acl-main.254	38928934
2020.acl-main.718	38928805
2020.acl-main.724	38929077
2020.acl-main.730	38929082
2020.acl-main.693	38928974
2020.acl-main.687	38929389
2020.acl-main.678	38929393
2020.acl-main.650	38929200
2020.acl-main.136	38928881
2020.acl-main.122	38929106
2020.acl-main.644	38929256
2020.acl-main.491	38929036
2020.acl-main.485	38929425
2020.acl-main.308	38929381
2020.acl-main.17	38929258
2020.acl-main.334	38929383
2020.acl-main.452	38929184
2020.acl-main.446	38929100
2020.acl-main.320	38928942
2020.acl-main.450	38929318
