anthology_id	presentation_id
2020.sigmorphon-1.3	38929872
2020.sigmorphon-1.22	38929875
2020.sigmorphon-1.23	38929876
2020.sigmorphon-1.24	38929877
2020.sigmorphon-1.25	38929878
2020.sigmorphon-1.26	38929879
2020.sigmorphon-1.27	38929880
2020.sigmorphon-1.28	38929873
2020.sigmorphon-1.29	38929874
2020.figlang-1.1	38929708
2020.figlang-1.2	38929696
2020.figlang-1.3	38929731
2020.figlang-1.4	38929720
2020.figlang-1.5	38929710
2020.figlang-1.6	38929695
2020.figlang-1.7	38929697
2020.figlang-1.8	38929698
2020.figlang-1.9	38929699
2020.figlang-1.10	38929700
2020.figlang-1.11	38929701
2020.figlang-1.12	38929702
2020.figlang-1.13	38929703
2020.figlang-1.14	38929704
2020.figlang-1.16	38929723
2020.figlang-1.17	38929718
2020.figlang-1.18	38929724
2020.figlang-1.19	38929714
2020.figlang-1.20	38929717
2020.figlang-1.21	38929719
2020.figlang-1.22	38929709
2020.figlang-1.23	38929711
2020.figlang-1.24	38929712
2020.figlang-1.25	38929713
2020.figlang-1.26	38929721
2020.figlang-1.27	38929722
2020.figlang-1.28	38929725
2020.figlang-1.29	38929715
2020.figlang-1.30	38929726
2020.figlang-1.31	38929716
2020.figlang-1.32	38929727
2020.figlang-1.33	38929728
2020.figlang-1.34	38929729
2020.figlang-1.35	38929730
2020.figlang-1.36	38929694
2020.figlang-1.37	38929706
2020.figlang-1.38	38929707
2020.bea-1.1	38929846
2020.bea-1.7	38929856
2020.bea-1.11	38929853
2020.nuse-1.1	38929739
2020.nuse-1.2	38929740
2020.nuse-1.3	38929742
2020.nuse-1.4	38929743
2020.nuse-1.5	38929744
2020.nuse-1.6	38929745
2020.nuse-1.7	38929746
2020.nuse-1.8	38929747
2020.nuse-1.9	38929748
2020.nuse-1.10	38929749
2020.nuse-1.11	38929750
2020.nuse-1.12	38929751
2020.nuse-1.13	38929752
2020.nuse-1.14	38929754
2020.nuse-1.15	38929755
2020.fever-1.1	38929663
2020.fever-1.2	38929660
2020.fever-1.3	38929659
2020.fever-1.4	38929661
2020.fever-1.5	38929662
2020.fever-1.6	38929664
2020.fever-1.7	38929665
2020.ecnlp-1.1	38931239
2020.ecnlp-1.2	38931242
2020.ecnlp-1.3	38931240
2020.ecnlp-1.4	38931243
2020.ecnlp-1.5	38931244
2020.ecnlp-1.6	38931248
2020.ecnlp-1.7	38931247
2020.ecnlp-1.8	38931249
2020.ecnlp-1.9	38931241
2020.ecnlp-1.10	38931246
2020.ecnlp-1.12	38931251
2020.ecnlp-1.13	38931245
